CustID,FullName,EmailAddr,JoinDate
1011,Kevin Hall,kevin.hall@email.com,2021-02-27
1012,Patricia Young,patricia.young@email.com,2019-07-19
1013,Robert King,robert.king@email.com,2020-03-03
1014,Jessica Wright,jessica.wright@email.com,2023-06-14
1015,Steven Scott,steven.scott@email.com,2022-10-01
1016,Mary Green,mary.green@email.com,2020-08-21
1017,Thomas Baker,thomas.baker@email.com,2021-12-09
1018,Barbara Adams,barbara.adams@email.com,2022-05-26
1019,Paul Nelson,paul.nelson@email.com,2023-02-02
1020,Nancy Carter,nancy.carter@email.com,2019-04-30
