CustID,FullName,EmailAddr,JoinDate,RewardPoints
1021,Jeff Brooks,jeff.brooks@email.com,2021-06-13,250
1022,Laura Rivera,laura.rivera@email.com,2023-03-05,480
1023,Andrew Price,andrew.price@email.com,2022-11-22,190
1024,Olivia Cox,olivia.cox@email.com,2020-12-01,320
1025,Justin Hughes,justin.hughes@email.com,2021-09-09,150
1026,Sophia Reed,sophia.reed@email.com,2019-05-15,600
1027,David Turner,david.turner@email.com,2020-10-20,90
1028,Rachel Peterson,rachel.peterson@email.com,2022-07-30,275
1029,Mark Long,mark.long@email.com,2023-01-11,450
1030,Hannah Flores,hannah.flores@email.com,2021-04-22,310
